source_row_number,accounting_date,planned_total_amount,restaurant,banquet_own,banquet_cb,aggregator,pickup,delivery,Ресторан.1,Доставка.1,Ресторан.2,Доставка.2,Банкет
3,2026-02-01 00:00:00,945610.2363966295,621234.6506711604,71048.40154953954,33979.67030630152,126349.48092659231,27899.40988291067,65098.62306012489,4760.0,2500.0,2200.0,2500.0,5100.0
4,2026-02-02 00:00:00,571575.6046565915,375506.26825285144,42945.31881371154,20539.065519601172,76372.14380616334,16863.84247927923,39348.96578498486,3570.0,2500.0,2000.0,2500.0,5100.0
5,2026-02-03 00:00:00,705795.641716646,463684.39347473107,53029.93795380826,25362.144238777862,94306.20517706065,20823.888261680477,48589.07261058778,3570.0,2500.0,2000.0,2500.0,5100.0
6,2026-02-04 00:00:00,688107.6417171538,452063.9624791564,51700.95051458487,24726.541550453632,91942.78996374646,20302.019162763732,47371.378046448706,3570.0,2500.0,2000.0,2500.0,5100.0
7,2026-02-05 00:00:00,924324.9089673886,607250.8945304547,69449.12900351794,33214.80082776945,123505.40207832879,27271.404758195345,63633.27776912248,3570.0,2500.0,2000.0,2500.0,5100.0
8,2026-02-06 00:00:00,1128324.8420032489,741272.1035429554,84776.65888902528,40545.35859909905,150763.23480480243,33290.24585021008,77677.24031715684,3570.0,2500.0,2000.0,2500.0,5100.0
9,2026-02-07 00:00:00,1262552.002951066,829454.9089234831,94861.81328225153,45368.693308902904,168698.2480472916,37250.5018167411,86917.83757239592,4760.0,2500.0,2200.0,2500.0,5100.0
10,2026-02-08 00:00:00,1083542.3851177318,711851.5104818186,81411.93010679304,38936.14048585754,144779.54304225973,31968.978300300896,74594.2827007021,4760.0,2500.0,2200.0,2500.0,5100.0
11,2026-02-09 00:00:00,686078.2772661292,450730.7371530211,51548.47426712356,24653.618127754744,91671.63263578126,20242.14452473454,47231.67055771393,3570.0,2500.0,2000.0,2500.0,5100.0
12,2026-02-10 00:00:00,636634.8634832744,418248.04956449766,47833.544604548646,22876.912636958048,85065.1583969786,18783.35948408739,43827.838796203905,3570.0,2500.0,2000.0,2500.0,5100.0
13,2026-02-11 00:00:00,837160.9812626464,549987.0768447191,62900.06946731807,30082.64191915212,111858.8307986183,24699.708669851618,57632.65356298711,3570.0,2500.0,2000.0,2500.0,5100.0
14,2026-02-12 00:00:00,822619.5222851484,540433.819233466,61807.4973093787,29560.107408833286,109915.84655098211,24270.675534746493,56631.57624774182,3570.0,2500.0,2000.0,2500.0,5100.0
15,2026-02-13 00:00:00,1352900.1197733956,888810.6335471903,101650.11678845971,48615.27324665464,180770.28071341044,39916.144643304164,93137.67083437637,3570.0,2500.0,2000.0,2500.0,5100.0
16,2026-02-14 00:00:00,1505749.736647276,989227.7765613204,113134.46894366806,54107.78949479777,201193.5682461638,44425.840020397736,103660.29338092805,4760.0,2500.0,2200.0,2500.0,5100.0
17,2026-02-15 00:00:00,1014218.1820684039,666307.8018725329,76203.2578380587,36445.03635733242,135516.65994963387,29923.62781525382,69821.79823559226,4760.0,2500.0,2200.0,2500.0,5100.0
18,2026-02-16 00:00:00,590237.2183763162,387766.3312618041,44347.458695544694,21209.65415873877,78865.65023828996,17414.437206581613,40633.6868153571,3570.0,2500.0,2000.0,2500.0,5100.0
